Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
GRIN2C	2705.9995389481037	0.8896829683714521	0.25039330822909867	1.9387565369138762e-5	0.004438201464303245	TRUE
SLCO4A1	878.2264408205301	0.8835522324388211	0.3260107728713604	2.7849572904579283e-4	0.012436652253818679	TRUE
LOC284933	33.22735135501934	0.880996043303953	0.31787194300419613	2.2972765881346645e-4	0.011415311527383135	TRUE
SLCO4A1-AS1	26.113390047754862	0.8779675394717039	0.36923915723018275	6.463128669198139e-4	0.016828328193348913	TRUE
MIR4777	4.700587072377917	0.8774241616583879	0.26782499653100456	5.562724723414136e-5	0.006536322538559177	TRUE
L1TD1	60.163940204538356	0.8764933528677604	0.2903500595858676	1.1861659068540648e-4	0.008655183868830938	TRUE
RN7SKP266	3.100508863333255	0.8745163149496067	0.36005916508837416	6.243476882726511e-4	0.01659143737921543	TRUE
IFITM3	1222.7404859940448	0.8743932223935323	0.23114928615695443	8.457476766829667e-6	0.0029785932022502264	TRUE
SLC28A3	6.542848704259651	0.8728749710237177	0.33077077786403647	0.022418550246554977	0.0865507700347702	FALSE
DEPP1	885.9731419516985	0.8727009152103627	0.36246378335023605	6.295244917066957e-4	0.01666020192387246	TRUE
SERPINA1	39.2544166893575	0.8688705496835727	0.274266073257297	5.710998942599494e-4	0.016342023474248454	TRUE
KCNK5	7.929301956200363	0.8646674137559808	0.35034759924198744	5.386839240263274e-4	0.01605670883959725	TRUE
HAMP	78.31072805335819	0.8630089497327098	0.25684279123927706	0.42686196056424813	0.5814425801045322	FALSE
RN7SL233P	5.811369648903238	0.8617749697095684	0.3444234390424928	5.110783113442594e-4	0.01556678184566725	TRUE
TSBP1	6.847668648312565	0.8591148695714216	0.2950594724474523	1.3972082009667118e-4	0.009270982648269555	TRUE
SIX5	284.1597733316218	0.8575550264827931	0.21959270763750535	5.0549625252270194e-6	0.002211879179916513	TRUE
RN7SL624P	12.065860433802298	0.8573036764300689	0.2265373786775309	7.743365719060032e-6	0.0028136686990590833	TRUE
TNFRSF11B	35.19946580106118	0.8555581390703438	0.22547611549642332	8.066287085435328e-6	0.002885210061871649	TRUE
LINC01362	20.667941176102904	0.8544412646398427	0.252041876120431	3.669331124270585e-5	0.005637007290589724	TRUE
LINC01702	16.780318677659235	0.8542242497023425	0.32802338869873005	3.7991302874787345e-4	0.013782835267981488	TRUE
SLC11A1	226.92861139555362	0.8516178324617358	0.22278685855913555	0.10942696245594168	0.234616384153815	FALSE
TEAD4	58.160962596712665	0.8495506162993679	0.2765898856185273	9.423816044095077e-5	0.007873357550416953	TRUE
SLC7A11-AS1	62.01759511527469	0.8451444444739968	0.2457320731687816	2.675510309732551e-5	0.00505098481074941	TRUE
GPC5-AS1	3.774069590784327	0.8425759425649281	0.3267609089472062	3.54693776888004e-4	0.013478134924714967	TRUE
RN7SKP151	3.538613689063154	0.8414653620185952	0.2657452456701639	7.920701239873219e-5	0.007536811695414598	TRUE
SNORD114-9	2.0624649844659793	0.8411946467020094	0.46197074396666044	0.002001968676176324	0.02647548638649821	TRUE
LINC01551	450.93710804686975	0.8388981994101015	0.23470707019858394	1.9097745535647527e-5	0.004416016068707507	TRUE
RN7SL376P	9.451586383929401	0.8380902740733965	0.23216201063859404	1.6599497883120933e-5	0.004130388103700048	TRUE
CLEC12A	13.220783683490465	0.8335132806858595	0.1845489314558324	3.9451060674448545e-7	8.720287521530283e-4	TRUE
MNX1	4.082734441300016	0.8327380560392978	0.48907686716755855	0.002777459400987228	0.030509405281861624	TRUE
GPR4	233.20789728008685	0.8265483017945182	0.2872766227396832	1.7938906079257344e-4	0.010202995078093436	TRUE
BTBD9-AS1	25.772120990092592	0.8192753720321163	0.290645853010201	2.2524743153913606e-4	0.011357630402629743	TRUE
RN7SL809P	4.073125700741877	0.818014132173074	0.28516422775586975	0.09310430921935868	0.21167383520206165	FALSE
RN7SL836P	2.8546388998684322	0.816844422461021	0.3756357199274506	0.0010697543984375633	0.02059209809076413	TRUE
TMEM92	11.107141759779948	0.8158587398235261	0.30006222936802296	2.8064034414578324e-4	0.012436652253818679	TRUE
GPR171	12.045713917665477	0.8155664347354528	0.46630059734343643	0.0024497126562414502	0.02883671159864227	TRUE
PPP1R13L	265.9954316931818	0.8144819932578453	0.16932114722794225	9.067111426402126e-8	5.054212727452414e-4	TRUE
THEG5	4.568566928158918	0.813335225577394	0.599414400451696	0.003472402411484267	0.03324560267825088	TRUE
RNF43	135.26333389185885	0.8104784897806051	0.18868402243978652	9.456343226230825e-7	0.0012026367174159782	TRUE
CACNA1C-AS4	7.015615136678514	0.8100630405952112	0.3514369910806498	8.79961731354567e-4	0.019152460982190492	TRUE
DNMT3L	4.189185495646082	0.8083594708032446	0.5220813899289085	0.0031700496684188436	0.03215978402510488	TRUE
RN7SL602P	126.61181952274733	0.8073996167461752	0.38474097800946666	0.0012726184793347593	0.022175385408224876	TRUE
LTA	4.234340862668757	0.8064692877548342	0.37876946106059506	0.001175224416136846	0.02133484324679197	TRUE
NRG3-AS1	18.073668643922172	0.8053864575750216	0.3057865491246535	3.717187255538961e-4	0.013680683384854966	TRUE
RN7SL811P	16.355999698066064	0.8046712302937125	0.27677671281189503	1.7569167459178947e-4	0.010080034623446728	TRUE
